"id","score","weight","color","label"
"FIS",59,0.5,"#9E0041","Fisheries"
"MAR",24,0.5,"#C32F4B","Mariculture"
"AO",98,1,"#E1514B","Artisanal Fishing Opportunities"
"NP",60,1,"#F47245","Natural Products"
"CS",74,1,"#FB9F59","Carbon Storage"
"CP",70,1,"#FEC574","Coastal Protection"
"TR",42,1,"#FAE38C","Tourism &  Recreation"
"LIV",77,0.5,"#EAF195","Livelihoods"
"ECO",88,0.5,"#C7E89E","Economies"
"ICO",60,0.5,"#9CD6A4","Iconic Species"
"LSP",65,0.5,"#6CC4A4","Lasting Special Places"
"CW",71,1,"#4D9DB4","Clean Waters"
"HAB",88,0.5,"#4776B4","Habitats"
"SPP",83,0.5,"#5E4EA1","Species"